ID	WORD	POS_TAG
1.0	tam	NOUN
2.0	nə̂	INF
3.0	cwə	VERB
4.0	gûʼ	NOUN
5.0	pfʉə	NUM
6.0	Kaməlûm	PROPN
7.0	mi	VERB
8.0	,	PUNCT
9.0	tǎdyə̂	NOUN
10.0	shəŋguŋtə́m	NOUN
11.0	guŋ	NOUN
12.0	ǎ	PART
13.0	gəlísi	NOUN
14.0	.	PUNCT
1.0	bə́	SCONJ
2.0	ě	PRON
3.0	sɔʼ	VERB
4.0	nə̂	INF
5.0	kəkâ	VERB
6.0	Kaməlûm	PROPN
7.0	tə	ADP
8.0	fə́	VERB
9.0	tyə́ʼə	NOUN
11.0	pfʉə	NUM
12.0	,	PUNCT
13.0	ŋwǎláʼ	NOUN
14.0	Afríka	PROPN
15.0	dyə̂	NOUN
16.0	ŋwǎlaʼ	NOUN
17.0	.	PUNCT
1.0	Paul	PROPN
2.0	Biya	PROPN
3.0	kə̂	AUX
4.0	cú'tə	VERB
5.0	pǔ	ADP
6.0	Sabri	PROPN
7.0	Boukadoum	PROPN
8.0	nə́	ADP
9.0	tyə̌'pfô	NOUN
10.0	24	NUM
11.0	dzə̂tsə́	NOUN
12.0	2021	NUM
13.0	.	PUNCT
1.0	Paul	PROPN
2.0	Biya	PROPN
3.0	kə̂	AUX
4.0	tyə̂ʼ	NOUN
5.0	18	NUM
6.0	nə́	ADP
7.0	Dzə̂tsə́	NOUN
8.0	ntʉ́	VERB
0.0	pú	NOUN
0.0	nə́	ADP
9.0	mkéywə́	NOUN
10.0	nə	ADP
11.0	ntʉ́	VERB
12.0	pɔmnəŋ	NOUN
13.0	nə́	ADP
14.0	.	PUNCT
1.0	ǎ	PRON
2.0	kə̂	AUX
3.0	bə́	VERB
4.0	nə̂	ADP
5.0	laʼnwə	NOUN
6.0	kámtə	VERB
7.0	tyə̌ʼdzʉ́	NOUN
8.0	CEMAC	PROPN
9.0	nə́	ADP
10.0	tyə̂ʼpfô	NOUN
11.0	16	NUM
12.0	dzə̂tsə́	NOUN
13.0	2021	NUM
14.0	yə̌ŋ	DET
15.0	,	PUNCT
16.0	Dôguŋ	NOUN
17.0	Paul	PROPN
18.0	.	PUNCT
1.0	Ayşe	PROPN
2.0	Saraç	PROPN
3.0	tǎdyə̂	NOUN
4.0	shəŋguŋtə́m	NOUN
5.0	tʉ́ki	PROPN
6.0	bə́	SCONJ
7.0	tam	NOUN
8.0	nə̂	INF
9.0	cwə	VERB
10.0	Kaməlûm	PROPN
11.0	miŋ	VERB
12.0	kə̂	AUX
13.0	ghɔ̌	VERB
14.0	gɔmtə	VERB
15.0	.	PUNCT
1.0	pə́mtə́	NOUN
2.0	Kaməlûm	PROPN
3.0	sɔʼ	VERB
4.0	nə̂	INF
5.0	ntuŋ	VERB
6.0	dəŋzhítɛ̂	NOUN
7.0	Kaməlûn	PROPN
8.0	ntʉ́m	ADP
9.0	nə̂	INF
10.0	pə́	VERB
11.0	ntîtǐ	ADJ
12.0	ê	DET
13.0	gaə̌	PRON
14.0	kwɛ	VERB
15.0	gaə́	SCONJ
16.0	ywə̂kámtə	NOUN
