Url translation;fra;bbj
;Les bureaux régionaux de l’Extrême Nord du Nord et de l’Adamaoua affichent complet.;Mdyə̂faʼ mtəŋláʼ shyə̂ŋkaʼ, təŋláʼ ŋkaʼ gə́ təŋláʼ Adamáwǎ kuʼ dəŋ é.
;C’est dans le cadre de la loi régissant les associations artistiques et culturelles.;Â bə́ wə́ dé zhəŋ mcoʼ myə â dé nwə nə́ mcúʼtə və púa mkɔ̀. 
;Ces derniers temps au Cameroun les vidéos et images à caractère pornographique inondent les plateformes digitale;Ǎ pə́ nə́ mtâm mɔ Kaməlûm ciŋnyə shyəcyə púa sobo mciŋnyə yɔ́m nə́ cə̌mcuŋ tətɔ̂m.
;POUR la PARTICIPATION AU SALON AFRICAIN DE L’EDUCATION (SAED).;Nə́ pə̂ sí nə̂ nwə Cam nə̂ Cwyatə po á Áfríkà (CACA).
;Cette offre est VALABLE JUSQU’AU 25 JUILLET 2021.;Fʉʼ yə̌ŋ ghə dəŋ tə́ ŋwák tyə̂ʼ 25 nə̂ Fəfə 2021.
;Brice TCHAKOUNTE le Promoteur répond à quelqu'un.;Brice TCHAKOUNTE gɛywə́ wə́ há piŋ ghɔm bí mò.
;C’est en vue de l’élaboration des plans d’investissements relatifs aux zones de transhumance transfrontalieres.;Â bə́ nə́ nə sɛ́nwə há nə́ bʉɔ̌ mfaʼ pələmnɔm ŋkó kə ntə́m ntʉ́m guŋ lə̂.
;Il faut savoir que nous sommes là.;Pó zhyə́ gaə́ pyə̂ á sí
;Le Cameroun augmente le coût du timbre du passeport de 75 000 à 110 000 FCFA.;Kaməlúm kwóʼ dəŋ sətâm nənyáp pasəpɔ̂ yə a kə̂ bə́ 75 000 á jáp 110 000 F CFA.
;Voici le vrai gourou de Martin Camus et Wilfried Eteki prédateurs des femmes.;Yɔ́ kwaʼ kwaʼ mfaʼ Martin Camus pú Wilfried Eteki, pəzhəŋvʉ́m a jwǐ.
;triste destin de Malicka Bayemi fille d'une grande personnalité de la Lékié.;Bɔ̂ktsě Malicka Beyemî mû taʼ mo gwyə́ ntʉ́m pfə́láʼ Lékyè.
; 3 Ministres 27 députés et 67 journalistes membres actif d'un groupe pornographique Whatsapp.;Mŋwâlǎʼ 3, pəpəŋthə́láʼ 27 gə́ mmə́kwɛ́ 67 bə́ pəntʉɔ nə̂ tsə́nɔm Wazâp.
;le sous- sol du Palais d'Etoudi transformé en morgue géante'.;Pú lə zhəŋ bvʉʼsǐ Nəmo Etudǐ gə́ dyə̂ gwyə́ mpfə́pɔ̀.
;les dessous du départ brutal de Jean Jacques Ze de Vision 4.;Yə po ka zhyə́ nə́ nə́ ghɔ tə pap Jean Jacques Ze Vision 4.
;Sextape dans le bureau de Martin Camus ce qu'il faut savoir.;Yə â shə́ŋ gaə́ po zhyə́ nə̂ mtsə́nɔm dyə̂faʼ Martin Camus lə.
;Wilfried Eteki 'couche avec la femme d'un milliardaire et l'enrégistre'.;Wilfrid Etekí nə̂ nuŋ pú jwî taʼ mə̂zhǐ gɛŋkapə́ bə́ də́ ciŋnyə nə́.
;Surprise générale durant l’audition de Jacques Fame Ndongo.;Mnyə́ guŋ pɔ awɛ́ tə́m ŋkhə cwə nə́ tə́ŋtə Jacques Fame Ndongo
;Vol de carte comment Cabral Libii a été arrêté en France (vidéo).;Nwə jʉ kâktə̀: Páʼ pú kə̂ ghə tə́ gə́m Cabral Libii Fəlaŋsí áá (ciŋnyə shyəcyə).      
;voici les vrais parents de Gilbert Baongla Ahidjo les connaissait !.;Kwaʼ mtâ Gilbert Mboanla  Ayíjo lə̂ bə é zhyə́ nyə́nyɔ́ nə́.
;ce qu'on sait sur le groupe WhatsApp 'On déconne un peu''.;Yə â bə pú zhyə́ nə̂ Wazâp ‘dekonɔ́ŋ ɛŋ pê’
;Equinoxe Tv diffuse un extrait de la sextape de Malicka (vidéo).;Ekinɔ́ks Yɔ̂júʼ laʼtə taʼ kam nə̂ mtsə́nɔm Malickà (ciŋnyə shyəcyə)
;Les nudes de Yolande Bodiong font jaser la toile.;Mfǒto Yolande Bodiong tə koʼ dzə́ nə́ é wə́ gɔ́mnwə nə́ mə́lǎmgʉgʉɔ́.
;graves révélations du Pr Bahebeck et Dieudonné Essomba sur Covidgate.;Mghɔm Mə́cwɔ̂ʼ cwyatə Bahébék pú Dieudoné Essomba nə̂ Kolónǎ syà.
;son véhicule de fonction retiré le montant de sa pension divulgué.;Pú kwí mətwâ faʼ e bíŋ shyanyə dəŋ pèfaʼ nə̂ cwəhwítə e.
;Une vidéo du fils d'un cadre RDPC dans une boîte de nuit révolte !.;Taʼ ciŋnyə shyəcyə mtsʉ́ʼ dyə̂ sélétampî mû yə mbɛ̂ taʼ mo gwyə́ ntʉ́m RDPC gɔ́mnwə̀.
;Ces preuves qui accablent Martin Mimb.;Nyə́nyɔ́ yəŋ yə ǎ wə́ jʉ́m Maktɛ́ŋ Mimb. 
